different digits: 272255

<digits> <times>
b'032' 30
b'508' 30
b'007008' 30
b'8888888' 30
b'0505' 30
b'198977' 30
b'255' 30
b'871127' 30
b'19870818' 30
b'0803' 30
b'19820823' 30
b'0313' 29
b'899' 29
b'1945' 29
b'0224' 29
b'247' 29
b'0603' 29
b'880826' 29
b'23456' 29
b'831872' 29
b'0329' 29
b'7451321' 29
b'19881010' 29
b'5201' 29
b'0428' 29
b'756' 29
b'5921' 29
b'0530' 29
b'0107' 29
b'704' 29
b'052' 29
b'198788' 29
b'0209' 29
b'0718' 29
b'52013' 29
b'1598753' 29
b'0147' 29
b'5656' 29
b'8421' 29
b'123456987' 29
b'1966' 29
b'160' 29
b'371' 29
b'0121' 29
b'347' 29
b'19871024' 29
b'131415' 29
b'881013' 29
b'123321123' 29
b'0226' 29
b'1314526' 29
b'0407' 29
b'66666666' 29
b'989' 29
b'881026' 29
b'123456123' 29
b'2222222' 29
b'8426' 29
b'67890' 29
b'784533' 29
b'743' 29
b'609' 29
b'0807' 29
b'1983313' 29
b'870415' 29
b'0806' 29
b'20089696' 29
b'0831' 28
b'9001' 28
b'0805' 28
b'368' 28
b'010101' 28
b'363' 28
b'339' 28
b'8711' 28
b'569' 28
b'777777' 28
b'745' 28
b'187' 28
b'19891106' 28
b'0106' 28
b'024' 28
b'0425' 28
b'2100' 28
b'435' 28
b'542' 28
b'299' 28
b'438' 28
b'336' 28
b'001001' 28
b'198211' 28
b'19880606' 28
b'5188' 28
b'604' 28
b'0119' 28
b'359' 28
b'173' 28
b'0611' 28
b'444444' 28
b'409' 28
b'0117' 28
b'636' 28
b'198910' 28
b'0331' 28
b'4587' 28
b'19901020' 28
b'0903' 28
b'159159' 28
b'139139' 28
b'705' 27
b'1919' 27
b'777888' 27
b'380' 27
b'19891016' 27
b'861015' 27
b'165' 27
b'565656' 27
b'033' 27
b'0617' 27
b'277' 27
b'1415' 27
b'0115' 27
b'292' 27
b'299792458' 27
b'0402' 27
b'265' 27
b'0225' 27
b'19881026' 27
b'340' 27
b'871215' 27
b'666999' 27
b'883' 27
b'1596321' 27
b'238' 27
b'0116' 27
b'98765' 27
b'881025' 27
b'582' 27
b'861207' 27
b'1987112' 27
b'4585' 27
b'19871020' 27
b'19881114' 27
b'319519' 27
b'19891028' 27
b'0122' 27
b'198610' 27
b'1230456' 27
b'579' 27
b'4567' 27
b'0418' 27
b'0522' 27
b'5151' 27
b'121121' 27
b'1989111' 27
b'0729' 27
b'0112' 27
b'1233210' 27
b'789654' 27
b'0508' 27
b'0404' 27
b'19881013' 27
b'147147' 27
b'19881014' 27
b'123988' 27
b'19881015' 26
b'334455' 26
b'893' 26
b'881203' 26
b'1958' 26
b'881128' 26
b'111222333' 26
b'0612' 26
b'881212' 26
b'978' 26
b'362' 26
b'1503196' 26
b'1962' 26
b'881029' 26
b'7292086' 26
b'552' 26
b'22222' 26
b'841023' 26
b'2651' 26
b'450' 26
b'389' 26
b'334420' 26
b'0309' 26
b'198210' 26
b'259' 26
b'0614' 26
b'289' 26
b'266' 26
b'19880601' 26
b'271' 26
b'140' 26
b'198212' 26
b'0830' 26
b'1321' 26
b'333666' 26
b'13145' 26
b'881' 26
b'2366' 26
b'332335' 26
b'631' 26
b'796' 26
b'908' 26
b'0706' 26
b'19861030' 26
b'20082008' 26
b'679' 26
b'0120' 26
b'239' 26
b'5418' 26
b'0125' 26
b'198766' 26
b'560' 26
b'0227' 26
b'809' 25
b'258963' 25
b'881219' 25
b'19880102' 25
b'1010110' 25
b'198312' 25
b'540324' 25
b'841020' 25
b'19891129' 25
b'198412' 25
b'732' 25
b'3155530' 25
b'1008611' 25
b'880815' 25
b'283' 25
b'5241' 25
b'747' 25
b'198686' 25
b'861' 25
b'881018' 25
b'19880929' 25
b'254' 25
b'1256' 25
b'194' 25
