different specials: 2234

<specials> <times>
b'\xd2\xbb\xc6\xac\xd1\xa9\xbb\xa8\xc6\xae\xd4\xda\xb5\xd8' 1
b'!^' 1
b'!(*^$$' 1
b'!)@&' 1
b'!@$' 1
b'%#!' 1
b'$$%$))' 1
b'*@(@$' 1
b'?`~!@#' 1
b'.:_' 1
b'!!//!!??' 1
b'..-' 1
b'@)#^' 1
b'!(*&%!' 1
b'^^@' 1
b'!$%@' 1
b'\xa3\xa9' 1
b')$' 1
b'&*!@)*' 1
b'$$%' 1
b'.@//' 1
b'@#$%&' 1
b'!*@' 1
b'\xb5\xc4\xb6\xed' 1
b'\xb7\xe2\xc9\xb1_' 1
b'!!##' 1
b')@.' 1
b'<>;[' 1
b'*@*!' 1
b'&*#' 1
b'*&@' 1
b'&%%#' 1
b'_______' 1
b'~&*' 1
b'*):' 1
b'!@^&' 1
b'#$!$' 1
b'.?:' 1
b'-?' 1
b'- -' 1
b'!!@)' 1
b'~$' 1
b'!(*^$^' 1
b' !' 1
b' ^' 1
b'\xd7\xf2\xcc\xec' 1
b':@#$' 1
b'*^$@' 1
b'=-*' 1
b'@@@@@@@@@@' 1
b'<[}=' 1
b'#_#' 1
b'!@#,./' 1
b'&&*^!%*' 1
b'#@@' 1
b'\xb9\xab\xd6\xf7' 1
b'~/' 1
b'$#&' 1
b'^(#^' 1
b'!)!#' 1
b'/!' 1
b'#&(*!#' 1
b'\xb7\xc7\xb3\xa3' 1
b'@*$' 1
b')!)' 1
b'^.' 1
b'@))%' 1
b'-`' 1
b'+-+' 1
b'!@!*' 1
b')&)(' 1
b'@`' 1
b'$!%' 1
b'!@%^)!!' 1
b'\xb9\xfa' 1
b'..  ' 1
b'*^&#' 1
b'+_)(' 1
b';>' 1
b'@!%_^' 1
b'&@@' 1
b'%#!)' 1
b'^^^^^^' 1
b'+++...' 1
b'@.?' 1
b'\xa4\xa1\xa4\xa3\x87\xe1#\x01\x05 ?' 1
b'\xa9\xc4\xa9\xcc\xa9\xef' 1
b'!#@_' 1
b'\xa1\xee' 1
b'+-+-++*' 1
b'**!' 1
b'=..' 1
b'`,.' 1
b'@)*)#)' 1
b'??????' 1
b')_\xa1\xa3' 1
b'*$^!' 1
b'_--_' 1
b'?+!' 1
b'@#&%(%)@' 1
b')^!&' 1
b'\xa3\xa1' 1
b'`()`' 1
b'\xbe\xf6\xd0\xc4' 1
b'\xc5\xcc\xd6\xc6\xd7\xf7\xbc\xd3\xc3\xdc\xc5\xcc\xb9\xa4\xbe\xdf.' 1
b'!#)' 1
b'**$' 1
