different digits: 15260

<digits> <times>
b'22202' 3
b'2663' 3
b'570' 3
b'565' 3
b'9272' 3
b'24864' 3
b'07027' 3
b'54735' 3
b'6420' 3
b'3028' 3
b'6772' 3
b'2013' 3
b'028' 3
b'9753' 3
b'637' 3
b'25232' 3
b'5782' 3
b'8089' 3
b'9296' 3
b'8477' 3
b'8459' 3
b'4824' 3
b'936' 3
b'9982' 3
b'668' 3
b'6482' 3
b'6046' 3
b'98089' 3
b'9075' 3
b'74246' 3
b'3482' 3
b'5839' 3
b'3606' 3
b'4235' 3
b'6273' 3
b'6328' 3
b'9449' 3
b'0699' 3
b'4064' 3
b'0709' 3
b'8688' 3
b'9434' 3
b'9208' 3
b'0434' 3
b'0858' 3
b'9933' 3
b'3565' 3
b'9974' 3
b'069' 3
b'00457' 3
b'5420' 3
b'08060' 3
b'972' 3
b'783' 3
b'256' 3
b'3262' 3
b'0484' 3
b'6028' 3
b'7468' 3
b'6036' 3
b'460' 3
b'728' 3
b'44885' 3
b'4299' 3
b'398395' 3
b'5576' 3
b'4440' 3
b'059' 3
b'2457' 3
b'0442' 3
b'2047' 3
b'9090' 3
b'880' 3
b'3279' 3
b'732' 3
b'2336' 3
b'891031' 3
b'0876' 3
b'9222' 3
b'8279' 3
b'9787' 3
b'0800' 3
b'0923' 3
b'4669' 3
b'670' 3
b'0423' 3
b'4744' 3
b'7609' 3
b'452' 3
b'6367' 3
b'74296' 3
b'0002' 3
b'027' 3
b'2606' 3
b'5809' 3
b'4114' 3
b'1256' 3
b'7366' 3
b'717361' 3
b'457' 3
b'0725' 3
b'1874' 3
b'190' 3
b'7810905' 3
b'9001' 3
b'945' 3
b'1254' 3
b'657' 3
b'2150' 3
b'1777' 3
b'7294' 3
b'2662' 3
b'3991' 3
b'54321455' 3
b'1456' 3
b'031635' 3
b'110191' 3
b'15199' 3
b'193' 3
b'0523' 3
b'0214' 3
b'51293' 3
b'11992' 3
b'19991999' 3
b'90210' 3
b'1315' 3
b'044' 3
b'2335' 3
b'9138685576' 3
b'1306' 3
b'789456123' 3
b'644' 3
b'431256' 3
b'881113' 3
b'42962' 3
b'7330' 2
b'391' 2
b'924631168' 2
b'409' 2
b'7805' 2
b'1418' 2
b'4501' 2
b'5343' 2
b'3843' 2
b'4357' 2
b'3615' 2
b'1180' 2
b'5852' 2
b'1067' 2
b'8388' 2
b'2713' 2
b'1314' 2
b'051' 2
b'853' 2
b'548' 2
b'4520' 2
b'6117' 2
b'291' 2
b'61492' 2
b'1376' 2
b'3884' 2
b'9378' 2
b'48897' 2
b'2495' 2
b'2727' 2
b'748' 2
b'17777' 2
b'2629' 2
b'7953' 2
b'7373' 2
b'0069' 2
b'9178' 2
b'2769' 2
b'4580' 2
b'898' 2
b'2166' 2
b'6057' 2
b'553311' 2
b'1115' 2
b'7317' 2
b'3132' 2
b'9798' 2
b'449' 2
b'6589' 2
b'448' 2
b'5211' 2
b'0610' 2
b'1117' 2
b'5568' 2
b'1064' 2
b'1666' 2
b'0146' 2
b'2267' 2
b'075' 2
b'533' 2
b'5877' 2
b'396' 2
b'03556' 2
b'5608' 2
b'7820' 2
b'7270' 2
b'3452' 2
b'420420' 2
b'2809' 2
b'4628' 2
b'2212' 2
b'5095' 2
b'1272' 2
b'2515' 2
b'2284' 2
b'2910' 2
b'4347' 2
b'32817' 2
b'9247' 2
b'0425' 2
b'9777' 2
b'1173' 2
b'9595' 2
b'1027' 2
b'4121' 2
b'92005' 2
b'5819' 2
b'6521' 2
b'5387' 2
b'5422' 2
b'0001' 2
b'4161' 2
b'280' 2
b'168172' 2
b'1245' 2
b'3844' 2
b'188' 2
b'3117' 2
